Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 76, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 157/3
Hello, node 3, message 84, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 158/3
Hello, node 2, message 77, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 159/3
Hello, node 3, message 85, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 160/3
Hello, node 2, message 78, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 161/3
Hello, node 3, message 86, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 162/3
Hello, node 2, message 79, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 163/3
Hello, node 3, message 87, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 164/3
Hello, node 2, message 80, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 165/3
Hello, node 3, message 88, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 166/3
Hello, node 2, message 81, tx time 404 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 167/3
Hello, node 3, message 89, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 168/3
Hello, node 2, message 82, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 169/3
Hello, node 3, message 90, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 170/3
Hello, node 2, message 83, tx time 404 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 171/3
Hello, node 3, message 91, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 172/3
Hello, node 2, message 84, tx time 403 ms, battery 339, RSSI-40 dBm, SNR 9 dB, good/bad packets: 173/3
Hello, node 3, message 92, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 174/3
Hello, node 2, message 85, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 175/3
Hello, node 3, message 93, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 176/3
Hello, node 2, message 86, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 177/3
Hello, node 3, message 94, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 8 dB, good/bad packets: 178/3
Hello, node 2, message 87, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 8 dB, good/bad packets: 179/3
Hello, node 3, message 95, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 180/3
Hello, node 2, message 88, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 181/3
Hello, node 3, message 96, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 10 dB, good/bad packets: 182/3
Hello, node 2, message 89, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 183/3
Hello, node 3, message 97, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 184/3
Hello, node 2, message 90, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 185/3
Hello, node 3, message 98, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 186/3
Hello, node 2, message 91, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 187/3
Hello, node 3, message 99, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 188/3
Hello, node 2, message 92, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 189/3
Hello, node 3, message 100, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 190/3
Hello, node 2, message 93, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 191/3
Hello, node 3, message 101, tx time 402 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 192/3
Hello, node 2, message 94, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 193/3
Hello, node 3, message 102, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 194/3
Hello, node 2, message 95, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 195/3
Hello, node 3, message 103, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 196/3
Hello, node 2, message 96, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 197/3
Hello, node 3, message 104, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 198/3
Hello, node 2, message 97, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 199/3
Hello, node 3, message 105, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 200/3
Hello, node 2, message 98, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 201/3
Hello, node 3, message 106, tx time 402 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 202/3
Hello, node 2, message 99, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 203/3
Hello, node 3, message 107, tx time 402 ms, battery 334, RSSI-40 dBm, SNR 10 dB, good/bad packets: 204/3
Hello, node 2, message 100, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 205/3
Hello, node 3, message 108, tx time 402 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 206/3
