Hello, node 2, message 27663, msg time 1599886576, tx time 403 ms, battery 357 v, temp 1712 C, humidity 7806 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60824/1770
Hello, node 2, message 27664, msg time 1599886597, tx time 404 ms, battery 356 v, temp 1718 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60825/1770
Hello, node 2, message 27665, msg time 1599886618, tx time 404 ms, battery 357 v, temp 1718 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60826/1770
Hello, node 2, message 27666, msg time 1599886639, tx time 402 ms, battery 357 v, temp 1718 C, humidity 7800 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60827/1770
Hello, node 2, message 27667, msg time 1599886660, tx time 403 ms, battery 357 v, temp 1718 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60828/1770
Hello, node 2, message 27668, msg time 1599886681, tx time 404 ms, battery 357 v, temp 1721 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60829/1770
Hello, node 2, message 27669, msg time 1599886702, tx time 403 ms, battery 357 v, temp 1721 C, humidity 7805 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60830/1770
Hello, node 2, message 27670, msg time 1599886723, tx time 403 ms, battery 357 v, temp 1726 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60831/1770
Hello, node 2, message 27671, msg time 1599886744, tx time 404 ms, battery 357 v, temp 1724 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60832/1770
Hello, node 2, message 27672, msg time 1599886765, tx time 402 ms, battery 356 v, temp 1729 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60833/1770
Hello, node 2, message 27673, msg time 1599886786, tx time 403 ms, battery 357 v, temp 1729 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60834/1770
Hello, node 2, message 27674, msg time 1599886807, tx time 402 ms, battery 357 v, temp 1729 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60835/1770
Hello, node 2, message 27675, msg time 1599886828, tx time 404 ms, battery 357 v, temp 1729 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60836/1770
Hello, node 2, message 27676, msg time 1599886849, tx time 403 ms, battery 357 v, temp 1734 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60837/1770
Hello, node 2, message 27677, msg time 1599886870, tx time 402 ms, battery 357 v, temp 1734 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60838/1770
Hello, node 2, message 27678, msg time 1599886891, tx time 402 ms, battery 357 v, temp 1737 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60839/1770
Hello, node 2, message 27679, msg time 1599886912, tx time 404 ms, battery 357 v, temp 1739 C, humidity 7805 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60840/1770
